,traitname,traitdata-value,valuetotal,traitname,Sum_of_valuetotal,Name,Link,Total Mints,Min Trait Count,Max Trait Count,Number of Different Traits,traitcount,total
0,Type,0N1,392,Background,7777,0n1-force,https://rarity.tools/0n1-force,"7,777 Total 0N1 Force",5,10,284,5,7
1,Type,B4K3M0-N0,2100,Body,7777,,,,,,,10,7770
2,Type,K4M-1,7,Domain,7777,,,,,,,,
3,Type,Y0K-A1,5278,Extra,7777,,,,,,,,
4,Background,Azurite,1881,Eyes,7777,,,,,,,,
5,Background,Citrine,1905,Face,7777,,,,,,,,
6,Background,Dark Smoke,921,Hair,7777,,,,,,,,
7,Background,Jasper,1922,Head,7777,,,,,,,,
8,Background,Light Smoke,885,Helmet,7777,,,,,,,,
9,Background,Technogod,256,Mouth,7777,,,,,,,,
10,Background,Technogod (Azurite),2,Spirit,7777,,,,,,,,
11,Background,Technogod (Citrine),2,Strength,7777,,,,,,,,
12,Background,Technogod (Jasper),2,Style,7777,,,,,,,,
13,Background,Technogod (Pearl),1,Type,7777,,,,,,,,
14,Body,<none>,7,Wear,7777,,,,,,,,
15,Body,Ash,586,,,,,,,,,,
16,Body,Azurite,1835,,,,,,,,,,
17,Body,Citrine,1989,,,,,,,,,,
18,Body,Jasper,1875,,,,,,,,,,
19,Body,Kabuki,57,,,,,,,,,,
20,Body,Obsidian,613,,,,,,,,,,
21,Body,Pearlescent,70,,,,,,,,,,
22,Body,Tiger Skin,33,,,,,,,,,,
23,Body,Type-01,638,,,,,,,,,,
24,Body,Water,74,,,,,,,,,,
25,Eyes,<none>,7,,,,,,,,,,
26,Eyes,Aggressive,32,,,,,,,,,,
27,Eyes,Angry (Azurite),51,,,,,,,,,,
28,Eyes,Angry (Citrine),579,,,,,,,,,,
29,Eyes,Angry (Jasper),477,,,,,,,,,,
30,Eyes,Angry (Oni),44,,,,,,,,,,
31,Eyes,Closed Eye,107,,,,,,,,,,
32,Eyes,Eye Shadow (Azurite),743,,,,,,,,,,
33,Eyes,Eye Shadow (Citrine),281,,,,,,,,,,
34,Eyes,Eye Shadow (Jasper),428,,,,,,,,,,
35,Eyes,Eyebags,19,,,,,,,,,,
36,Eyes,Flat,82,,,,,,,,,,
37,Eyes,Half Open (Azurite),479,,,,,,,,,,
38,Eyes,Half Open (Citrine),408,,,,,,,,,,
39,Eyes,Half Open (Jasper),774,,,,,,,,,,
40,Eyes,Half Open (Oni),55,,,,,,,,,,
41,Eyes,Hypnotized,44,,,,,,,,,,
42,Eyes,Open (Azurite),510,,,,,,,,,,
43,Eyes,Open (Citrine),861,,,,,,,,,,
44,Eyes,Open (Jasper),392,,,,,,,,,,
45,Eyes,Possessed,89,,,,,,,,,,
46,Eyes,Squint (Azurite),452,,,,,,,,,,
47,Eyes,Squint (Citrine),220,,,,,,,,,,
48,Eyes,Squint (Jasper),643,,,,,,,,,,
49,Mouth,<none>,7,,,,,,,,,,
50,Mouth,Angry,420,,,,,,,,,,
51,Mouth,Angry (Oni),44,,,,,,,,,,
52,Mouth,Frown,2196,,,,,,,,,,
53,Mouth,Neutral,2127,,,,,,,,,,
54,Mouth,Open,401,,,,,,,,,,
55,Mouth,Smile,384,,,,,,,,,,
56,Mouth,Smirk,2155,,,,,,,,,,
57,Mouth,uwu,43,,,,,,,,,,
58,Wear,01-Hood,1,,,,,,,,,,
59,Wear,02-Bomber Jacket,1,,,,,,,,,,
60,Wear,03-Bomber Jacket,1,,,,,,,,,,
61,Wear,04-Kimono,1,,,,,,,,,,
62,Wear,05-Track Jacket,1,,,,,,,,,,
63,Wear,06-Hood,1,,,,,,,,,,
64,Wear,07-Kimono,1,,,,,,,,,,
65,Wear,Bomber Jacket (Jasper/Obsidian),187,,,,,,,,,,
66,Wear,Bomber Jacket (Obsidian/Pearl),181,,,,,,,,,,
67,Wear,Bomber Jacket (Pearl/Azurite),74,,,,,,,,,,
68,Wear,Bomber Jacket (Pine),472,,,,,,,,,,
69,Wear,Bomber Jacket (Rose),542,,,,,,,,,,
70,Wear,Bomber Jacket (Saddle),32,,,,,,,,,,
71,Wear,Dress (Obsidian),145,,,,,,,,,,
72,Wear,Dress (Pearl),87,,,,,,,,,,
73,Wear,Kimono (Azurite),17,,,,,,,,,,
74,Wear,Kimono (Rose),449,,,,,,,,,,
75,Wear,Neon Hood (Emerald),124,,,,,,,,,,
76,Wear,Neon Hood (Rose),125,,,,,,,,,,
77,Wear,Ninja (Obsidian),134,,,,,,,,,,
78,Wear,Ninja (Pearl),18,,,,,,,,,,
79,Wear,Sleeveless (Citrine),316,,,,,,,,,,
80,Wear,Sleeveless (Obsidian),161,,,,,,,,,,
81,Wear,Sleeveless (Pearl),250,,,,,,,,,,
82,Wear,Suit (Obsidian),138,,,,,,,,,,
83,Wear,Suit (Pearl),62,,,,,,,,,,
84,Wear,T-Shirt (Jasper),168,,,,,,,,,,
85,Wear,T-Shirt (Obsidian),514,,,,,,,,,,
86,Wear,T-Shirt (Pearl),422,,,,,,,,,,
87,Wear,Tech Jacket (Gold),5,,,,,,,,,,
88,Wear,Tech Jacket (Reflective),56,,,,,,,,,,
89,Wear,Thermal Hoodie (Citrine),161,,,,,,,,,,
90,Wear,Thermal Hoodie (Jasper),513,,,,,,,,,,
91,Wear,Thermal Hoodie (Obsidian),171,,,,,,,,,,
92,Wear,Thermal Hoodie (Pearl),270,,,,,,,,,,
93,Wear,Thermal Hoodie (Turquoise),218,,,,,,,,,,
94,Wear,Track Jacket (Azurite),233,,,,,,,,,,
95,Wear,Track Jacket (Citrine),434,,,,,,,,,,
96,Wear,Track Jacket (Obsidian),446,,,,,,,,,,
97,Wear,Track Jacket (Pearl),151,,,,,,,,,,
98,Wear,Track Jacket (Topaz),149,,,,,,,,,,
99,Wear,Yukata (Azurite),232,,,,,,,,,,
100,Wear,Yukata (Pearl),113,,,,,,,,,,
101,Hair,<none>,7,,,,,,,,,,
102,Hair,Bald,114,,,,,,,,,,
103,Hair,Bob (Azurite),36,,,,,,,,,,
104,Hair,Bob (Obsidian),583,,,,,,,,,,
105,Hair,Bob (Quartz),142,,,,,,,,,,
106,Hair,Bob (Rose),425,,,,,,,,,,
107,Hair,Dreads (Azurite),170,,,,,,,,,,
108,Hair,Dreads (Bronzite),436,,,,,,,,,,
109,Hair,Dreads (Jasper),75,,,,,,,,,,
110,Hair,Dreads (Obsidian),278,,,,,,,,,,
111,Hair,Fade (Azurite),86,,,,,,,,,,
112,Hair,Fade (Citrine),124,,,,,,,,,,
113,Hair,Fade (Ethereum),2,,,,,,,,,,
114,Hair,Fade (Jasper),149,,,,,,,,,,
115,Hair,Fade (Obsidian),224,,,,,,,,,,
116,Hair,Fade (Pearl),628,,,,,,,,,,
117,Hair,Half-Buzz (Amethyst),9,,,,,,,,,,
118,Hair,Half-Buzz (Pearl),108,,,,,,,,,,
119,Hair,Half-Buzz (Turquoise),277,,,,,,,,,,
120,Hair,High Ponytail (Bronzite),106,,,,,,,,,,
121,Hair,High Ponytail (Obsidian),19,,,,,,,,,,
122,Hair,High Ponytail (Pearl),24,,,,,,,,,,
123,Hair,Long (Citirine),187,,,,,,,,,,
124,Hair,Long (Obsidian),122,,,,,,,,,,
125,Hair,Long (Rose),78,,,,,,,,,,
126,Hair,Long (Turquoise),632,,,,,,,,,,
127,Hair,Pixie (Citrine),128,,,,,,,,,,
128,Hair,Pixie (Obsidian),21,,,,,,,,,,
129,Hair,Pixie (Pearl),89,,,,,,,,,,
130,Hair,Pixie (Rose),152,,,,,,,,,,
131,Hair,Pixie (Turquoise),46,,,,,,,,,,
132,Hair,Pompadour (Citrine),28,,,,,,,,,,
133,Hair,Pompadour (Jasper),5,,,,,,,,,,
134,Hair,Pompadour (Obsidian),25,,,,,,,,,,
135,Hair,Ponytail (Jasper),131,,,,,,,,,,
136,Hair,Ponytail (Obsidian),273,,,,,,,,,,
137,Hair,Ponytail (Rose),332,,,,,,,,,,
138,Hair,Ponytail (Turquoise),88,,,,,,,,,,
139,Hair,Slick (Citrine),45,,,,,,,,,,
140,Hair,Slick (Obsidian),79,,,,,,,,,,
141,Hair,Slick (Pearl),5,,,,,,,,,,
142,Hair,Spiky (Citrine),496,,,,,,,,,,
143,Hair,Spiky (Jasper),30,,,,,,,,,,
144,Hair,Spiky (Obsidian),408,,,,,,,,,,
145,Hair,Spiky (Pearl),80,,,,,,,,,,
146,Hair,Top Knot (Jasper),30,,,,,,,,,,
147,Hair,Top Knot (Obsidian),113,,,,,,,,,,
148,Hair,Top Knot (Pearl),132,,,,,,,,,,
149,Face,<none>,7,,,,,,,,,,
150,Face,Bandaid,488,,,,,,,,,,
151,Face,Barong,9,,,,,,,,,,
152,Face,Bubblegum,196,,,,,,,,,,
153,Face,Dali Mask,3,,,,,,,,,,
154,Face,Foodmasku,9,,,,,,,,,,
155,Face,Garou (Azurite),43,,,,,,,,,,
156,Face,Garou (Citrine),108,,,,,,,,,,
157,Face,Garou (Jasper),122,,,,,,,,,,
158,Face,Gas Mask (Obsidian),107,,,,,,,,,,
159,Face,Gas Mask (Pearl),7,,,,,,,,,,
160,Face,Glasses (Obsidian),528,,,,,,,,,,
161,Face,Glasses (Pearl),261,,,,,,,,,,
162,Face,Hannya Mask (Jasper),106,,,,,,,,,,
163,Face,Hannya Mask (Obsidian),17,,,,,,,,,,
164,Face,Hannya Mask (Pearl),50,,,,,,,,,,
165,Face,KULT Mask (Obsidian),371,,,,,,,,,,
166,Face,KULT Mask (Pearl),498,,,,,,,,,,
167,Face,Kitsune Mask (Gold),33,,,,,,,,,,
168,Face,Kitsune Mask (Obsidian),199,,,,,,,,,,
169,Face,Kitsune Mask (Pearl),488,,,,,,,,,,
170,Face,Masquerade (Obsidian),172,,,,,,,,,,
171,Face,Masquerade (Pearl),77,,,,,,,,,,
172,Face,Mech Mask,21,,,,,,,,,,
173,Face,Mempo Mask (Jasper),36,,,,,,,,,,
174,Face,Mempo Mask (Obsidian),114,,,,,,,,,,
175,Face,Nose Scar,337,,,,,,,,,,
176,Face,PR Mask (Charcoal),194,,,,,,,,,,
177,Face,PR Mask (Citrine),412,,,,,,,,,,
178,Face,PR Mask (Jasper),389,,,,,,,,,,
179,Face,PR Mask (Turqouise),258,,,,,,,,,,
180,Face,Plague Mask (Obsidian),310,,,,,,,,,,
181,Face,Plague Mask (Pearl),66,,,,,,,,,,
182,Face,Ra Mask,7,,,,,,,,,,
183,Face,Skull Mask,235,,,,,,,,,,
184,Face,T-Goggles,163,,,,,,,,,,
185,Face,Tengu Mask,241,,,,,,,,,,
186,Face,Tengu Mask (Gold),38,,,,,,,,,,
187,Face,V-Shades,193,,,,,,,,,,
188,Face,VR (Obsidian),19,,,,,,,,,,
189,Face,VR (Pearl),27,,,,,,,,,,
190,Face,Vape,31,,,,,,,,,,
191,Face,Void,787,,,,,,,,,,
192,Head,<none>,7,,,,,,,,,,
193,Head,0-Headphones (Obsidian),62,,,,,,,,,,
194,Head,0-Headphones (Pearl),45,,,,,,,,,,
195,Head,Antlers (Gold),29,,,,,,,,,,
196,Head,Cat Ears,80,,,,,,,,,,
197,Head,Cat Ears (Cool),12,,,,,,,,,,
198,Head,Crown,22,,,,,,,,,,
199,Head,E-A1D,63,,,,,,,,,,
200,Head,Earbuds,406,,,,,,,,,,
201,Head,Fedora (Charcoal),115,,,,,,,,,,
202,Head,Fedora (Obsidian),243,,,,,,,,,,
203,Head,Flat Cap (Obsidian),129,,,,,,,,,,
204,Head,Flat Cap (Pearl),142,,,,,,,,,,
205,Head,Headphones (Citrine),1092,,,,,,,,,,
206,Head,Headphones (Jasper),745,,,,,,,,,,
207,Head,Headphones (Obsidian),434,,,,,,,,,,
208,Head,Headphones (Pearl),520,,,,,,,,,,
209,Head,Headphones (Rose),355,,,,,,,,,,
210,Head,Headphones (Turquoise),442,,,,,,,,,,
211,Head,Headset,185,,,,,,,,,,
212,Head,Horns (Gold),34,,,,,,,,,,
213,Head,Horns (Obsidian),60,,,,,,,,,,
214,Head,Pen,222,,,,,,,,,,
215,Head,Rose,132,,,,,,,,,,
216,Head,Snapback (Jasper),295,,,,,,,,,,
217,Head,Snapback (Multicolor),24,,,,,,,,,,
218,Head,Snapback (Obsidian),268,,,,,,,,,,
219,Head,Snapback (Pearl),183,,,,,,,,,,
220,Head,Void,1431,,,,,,,,,,
221,Extra,<none>,7,,,,,,,,,,
222,Extra,0N1 Logo Pin (Black),1628,,,,,,,,,,
223,Extra,0N1 Logo Pin (White),2115,,,,,,,,,,
224,Extra,Banana Pin,18,,,,,,,,,,
225,Extra,Canary,12,,,,,,,,,,
226,Extra,Dark Aura,44,,,,,,,,,,
227,Extra,Earring (Double),767,,,,,,,,,,
228,Extra,Haunted,5,,,,,,,,,,
229,Extra,Loop Earring,348,,,,,,,,,,
230,Extra,Lucky no. 7 Earring,135,,,,,,,,,,
231,Extra,Lucky no. 7 Pin,328,,,,,,,,,,
232,Extra,Oni Doll (Azurite),172,,,,,,,,,,
233,Extra,Oni Doll (Jasper),267,,,,,,,,,,
234,Extra,Strawberry Pin,21,,,,,,,,,,
235,Extra,Super Aura,27,,,,,,,,,,
236,Extra,Void,1854,,,,,,,,,,
237,Extra,Y0N1 Pin,29,,,,,,,,,,
238,Helmet,<none>,7770,,,,,,,,,,
239,Helmet,01-Divine,1,,,,,,,,,,
240,Helmet,02-Divine,1,,,,,,,,,,
241,Helmet,03-Divine,1,,,,,,,,,,
242,Helmet,04-Divine,1,,,,,,,,,,
243,Helmet,05-Divine,1,,,,,,,,,,
244,Helmet,06-Divine,1,,,,,,,,,,
245,Helmet,07-Divine,1,,,,,,,,,,
246,Domain,<none>,7770,,,,,,,,,,
247,Domain,Art & Music,1,,,,,,,,,,
248,Domain,Creation,1,,,,,,,,,,
249,Domain,Energy,1,,,,,,,,,,
250,Domain,Love,1,,,,,,,,,,
251,Domain,Moon,1,,,,,,,,,,
252,Domain,Sun,1,,,,,,,,,,
253,Domain,War,1,,,,,,,,,,
254,Strength,1,1043,,,,,,,,,,
255,Strength,2,1090,,,,,,,,,,
256,Strength,3,1075,,,,,,,,,,
257,Strength,4,1071,,,,,,,,,,
258,Strength,5,1528,,,,,,,,,,
259,Strength,6,541,,,,,,,,,,
260,Strength,7,519,,,,,,,,,,
261,Strength,8,638,,,,,,,,,,
262,Strength,9,129,,,,,,,,,,
263,Strength,10,143,,,,,,,,,,
264,Spirit,1,985,,,,,,,,,,
265,Spirit,2,1058,,,,,,,,,,
266,Spirit,3,1035,,,,,,,,,,
267,Spirit,4,1094,,,,,,,,,,
268,Spirit,5,1607,,,,,,,,,,
269,Spirit,6,502,,,,,,,,,,
270,Spirit,7,553,,,,,,,,,,
271,Spirit,8,690,,,,,,,,,,
272,Spirit,9,108,,,,,,,,,,
273,Spirit,10,145,,,,,,,,,,
274,Style,1,1029,,,,,,,,,,
275,Style,2,1021,,,,,,,,,,
276,Style,3,1079,,,,,,,,,,
277,Style,4,1088,,,,,,,,,,
278,Style,5,1571,,,,,,,,,,
279,Style,6,524,,,,,,,,,,
280,Style,7,531,,,,,,,,,,
281,Style,8,663,,,,,,,,,,
282,Style,9,118,,,,,,,,,,
283,Style,10,153,,,,,,,,,,
